Sector;region;substance;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020
Deforestation;Europe;CO2;36,36382247;34,67869444;34,9916738;30,87404446;29,97926925;30,1544574;31,51948149;34,02641599;58,96347697;38,45999923;34,932614;35,97463267;38,52158444;34,64009149;37,71679688;43,8630577;46,85023069;48,69024901;77,05690157;50,69544549;49,24776756;44,82723692;44,32196212;39,53765235;40,03770509;46,27758305;45,69587089;41,34761087;40,79068253;41,4007408;39,91420679
Deforestation;Latin America and Caribbean;CO2;2464,825507;2464,825507;2464,825507;2464,825507;2464,825507;2464,825507;2464,825507;2464,825507;2464,825507;2464,825507;2464,825507;2464,825507;2464,825507;2464,825507;2464,825507;2464,825507;1653,068229;1653,068229;1653,068229;1653,068229;1653,068229;1225,977511;1225,977511;1225,977511;1225,977511;1225,977511;1263,531505;1263,531505;1263,531505;1263,531505;1263,531505
Deforestation;Middle East;CO2;99,69173;99,69173;99,69173;99,69173;99,69173;99,69173;99,69173;99,69173;99,69173;99,69173;99,69173;99,69173;99,69173;99,69173;99,69173;99,69173;99,69173;99,69173;99,69173;99,69173;99,69173;99,69173;99,69173;99,69173;99,69173;99,69173;99,69173;99,69173;99,69173;99,69173;99,69173
Deforestation;North America;CO2;128,7805019;128,8902152;128,9600453;128,919028;128,9707187;128,9783064;129,0217537;129,1051019;129,2553361;129,3707458;129,6076914;129,8176338;129,9962295;130,3113219;130,5681297;130,9000456;131,2362258;131,5567511;131,8050388;131,9966574;132,188975;132,4236869;132,6575035;133,042877;133,5452055;133,8477151;134,027896;134,2438433;134,2809888;134,2873732;134,3313836
Deforestation;South-East Asia and developing Pacific;CO2;533,7878548;533,7878548;533,7878548;533,7878548;533,7878548;533,7878548;533,7878548;533,7878548;533,7878548;533,7878548;533,7878548;533,7878548;533,7878548;533,7878548;533,7878548;533,7878548;518,9159932;518,9159932;518,9159932;518,9159932;518,9159932;583,6999956;583,6999956;583,6999956;583,6999956;583,6999956;647,0226102;647,0226102;647,0226102;647,0226102;647,0226102
Deforestation;Southern Asia;CO2;28,8749912;28,8749912;28,8749912;28,8749912;28,8749912;28,8749912;28,8749912;28,8749912;28,8749912;28,8749912;28,8749912;28,8749912;28,8749912;28,8749912;28,8749912;28,8749912;28,8934166;28,8934166;28,8934166;28,8934166;28,8934166;28,963058;28,963058;28,963058;28,963058;28,963058;28,968316;28,968316;28,968316;28,968316;28,968316
Fires;Africa;CO2;125,899474;108,3626779;122,6730405;193,6230941;124,3985262;124,3985262;138,6279397;47,5709069;125,6552937;158,8392561;273,5638932;173,0722869;163,1849219;117,8745423;118,727923;132,4119292;139,8467068;127,6242009;176,0703376;122,3553503;206,3021054;316,0893028;225,657265;134,6632174;88,52303021;92,33073561;105,0960122;141,4673177;88,38697265;77,70492103;147,9375096
Fires;Asia-Pacific Developed;CO2;312,0824051;354,0561972;419,224903;756,191262;386,5183377;386,5183377;241,8572153;143,9084958;381,2244064;466,6358264;699,8052537;790,1997975;1122,367519;285,335504;579,2536919;139,5558634;673,368298;588,121084;229,93442;268,6965063;129,1509167;1257,96018;1161,209846;256,620226;470,6066722;457,2362726;170,7105588;671,3124784;571,4587673;510,0451695;219,0879487
Fires;Eastern Asia;CO2;141,1352753;138,6917935;191,50869;145,7805697;118,6155052;118,6155052;74,98889808;25,6200266;128,4816784;104,8680515;153,2243858;54,51818119;7,250100186;26,34519537;16,19811035;8,793798198;6,855536119;8,397319625;31,45066588;16,8419753;10,89384735;9,834860869;6,117731084;7,380625874;16,32438287;8,265507419;7,799445511;6,045657394;10,15987882;9,46788698;8,297050769
Fires;Eurasia;CO2;413,9428849;438,0502278;391,4689233;258,249563;589,5045048;589,5045048;535,4011569;348,2732428;194,7124831;428,4582309;506,3939966;156,1993055;172,2579872;362,9308913;170,0769295;144,999261;160,2545778;98,20398655;354,0317899;149,3744878;193,5259393;175,4494021;280,2124231;129,9165903;260,6222033;97,85664016;203,127156;109,4968585;254,1740588;196,5582554;152,3391728
Fires;Europe;CO2;44,2038922;28,32449547;22,6388163;15,53716938;34,00913589;34,00913589;37,26498161;7,931139715;50,76553212;20,3421724;40,73068343;37,14443595;6,201005106;15,00173089;2,924102627;12,61021622;6,392935682;9,513815334;2,88427248;5,62186982;5,163669704;6,555734012;12,04614959;4,585149785;7,608246486;10,79642845;5,120770755;20,93092965;4,77424077;9,531599026;11,58328901
Fires;Latin America and Caribbean;CO2;78,70038572;72,18595824;58,07607062;50,7479414;96,50860265;96,50860265;82,62075841;53,68754713;58,443009;81,23905867;42,83161973;60,72405365;24,15990495;26,93150684;12,22980077;17,45970404;14,80491185;9,646119936;22,40984403;16,02338813;8,113507887;20,66603299;12,48558303;10,70032979;8,415283907;17,20104855;18,76747012;45,49202789;16,05959617;17,2748892;25,26147399
Fires;Middle East;CO2;2,561970125;5,466492132;1,772776387;2,24350844;4,919605129;4,919605129;7,072149402;1,66995289;6,892726136;4,382574368;3,298689701;3,909361218;0,96283309;0,642183028;0,84342028;0,97533863;0,742908996;0,882350646;0,214638674;0,208238331;1,588507688;1,063380849;0,3888047;0,604089258;1,1231581;0,770506496;1,259964573;0,950485502;0,471160862;21,11436886;3,893635006
Fires;North America;CO2;195,1166719;210,3016876;126,6605559;149,2948795;285,8042889;285,8042889;126,9376175;84,46451772;327,8301079;135,3045329;149,15986;89,97811916;79,08091509;87,85394794;70,50625569;74,96986258;47,89649585;62,02040821;47,10981936;33,39052886;44,83086864;58,61221657;78,8858297;115,7876789;77,31921677;130,4280905;59,36951598;92,58695699;105,4284644;61,06684692;89,35018443
Fires;South-East Asia and developing Pacific;CO2;1,007512141;3,871683648;3,656364003;7,643701375;2,637067825;2,637067825;3,122929294;1,739768861;3,202130246;3,711771352;6,110620593;2,180732983;4,07660997;5,792473659;8,737733884;5,536586597;4,792633836;7,408910467;1,160196311;7,006742188;7,528978428;2,240141543;5,138937469;7,738348362;4,755430535;7,265270604;4,552103309;1,173279939;1,691586181;4,897338429;3,182260381
Fires;Southern Asia;CO2;3,320523139;8,393178198;6,854575517;7,732518945;8,649493466;8,649493466;6,216880308;3,079041148;6,056443696;6,228309095;7,945498894;4,489618519;0,474569136;2,774675641;2,750229881;1,839295856;2,567518442;2,770074606;1,567478268;7,627811723;3,359052899;1,404830574;5,879000982;1,655296244;3,886204736;1,992604385;4,173042594;1,666057398;3,096941993;3,920399771;0,908672247
Forest Land;Africa;CO2;-3767,383965;-3724,552182;-3626,983561;-3523,147152;-3410,240177;-3305,341793;-3255,64202;-3204,845235;-3164,656518;-3114,60755;-3045,769205;-2986,889633;-2948,42628;-2889,209418;-2856,562191;-2787,507672;-2723,056651;-2686,913797;-2813,189422;-2788,826378;-2737,851889;-2700,685497;-2657,867454;-2614,365203;-2568,569945;-2516,046756;-2531,532282;-2492,010168;-2448,744464;-2480,069279;-2428,030562
Forest Land;Asia-Pacific Developed;CO2;-567,17181;-568,1054258;-567,5468397;-567,1126563;-565,0450651;-559,7128215;-560,9442703;-555,3676149;-558,956491;-552,6037774;-541,8879317;-542,6602921;-544,1390736;-547,729172;-548,1121837;-549,398294;-545,5526574;-541,8848818;-548,8588513;-555,2817208;-547,1286255;-538,2687982;-542,0919542;-534,9321649;-530,1751266;-525,6267989;-519,764809;-497,0325316;-493,1589195;-491,2348079;-489,7300258
Forest Land;Eastern Asia;CO2;-1406,467814;-1408,841802;-1414,08117;-1421,310832;-1433,482727;-1428,010969;-1428,33161;-1433,512295;-1433,188122;-1430,527844;-1437,935092;-1443,520714;-1445,861189;-1449,609867;-1453,250247;-1467,176252;-1476,00817;-1414,378087;-1374,168219;-1326,833553;-1295,980998;-1299,562147;-1303,158107;-1294,391741;-1385,866437;-1422,263684;-1331,107752;-1340,098937;-1307,688045;-1317,190607;-1321,756675
Forest Land;Eurasia;CO2;-1382,777792;-1379,728523;-1378,059054;-1613,82591;-1886,38238;-1868,952203;-1937,448834;-1771,374992;-1838,272661;-1748,839744;-1689,537734;-1661,275499;-1657,780038;-1618,839646;-1598,949379;-1583,875608;-1551,480782;-1488,066728;-1714,535981;-1731,028267;-1643,147777;-1575,339899;-1554,0785;-1548,708292;-1503,910534;-1492,321174;-1468,817768;-1469,574414;-1345,512639;-1410,698916;-1412,567157
