name,slug,value,date_of_information,ranking,region
"Moldova","moldova","40,398,000","2019",105,"Europe"
"Egypt","egypt","40,063,000","2019",106,"Africa"
"Grenada","grenada","39,799,000","2019",107,"Central America and the Caribbean"
"Jordan","jordan","39,331,000","2019",108,"Middle East"
"Dominican Republic","dominican-republic","39,016,000","2019",109,"Central America and the Caribbean"
"Albania","albania","38,442,000","2019",110,"Europe"
"Dominica","dominica","37,513,000","2019",111,"Central America and the Caribbean"
"Peru","peru","36,465,000","2019",112,"South America"
"Vietnam","vietnam","36,392,000","2019",113,"East and Southeast Asia"
"Tunisia","tunisia","35,620,000","2019",114,"Africa"
"Kyrgyzstan","kyrgyzstan","35,059,000","2019",115,"Central Asia"
"Colombia","colombia","34,703,000","2019",116,"South America"
"Botswana","botswana","34,095,000","2019",117,"Africa"
"Fiji","fiji","32,901,000","2019",118,"Australia and Oceania"
"Cuba","cuba","32,785,000","2019",119,"Central America and the Caribbean"
"Belize","belize","31,552,000","2019",120,"Central America and the Caribbean"
"Namibia","namibia","29,811,000","2019",121,"Africa"
"Indonesia","indonesia","29,680,000","2019",122,"East and Southeast Asia"
"Saint Vincent and the Grenadines","saint-vincent-and-the-grenadines","27,821,000","2019",123,"Central America and the Caribbean"
"Tajikistan","tajikistan","27,651,000","2019",124,"Central Asia"
"Samoa","samoa","27,111,000","2019",125,"Australia and Oceania"
"Bolivia","bolivia","27,094,000","2019",126,"South America"
"Gabon","gabon","26,786,000","2019",127,"Africa"
"Cabo Verde","cabo-verde","26,539,000","2019",128,"Africa"
"Morocco","morocco","24,590,000","2019",129,"Africa"
"Syria","syria","24,567,000","2019",130,"Middle East"
"El Salvador","el-salvador","24,124,000","2019",131,"Central America and the Caribbean"
"India","india","23,231,000","2019",132,"South Asia"
"Tonga","tonga","22,841,000","2019",133,"Australia and Oceania"
"Honduras","honduras","19,800,000","2019",134,"Central America and the Caribbean"
"Guatemala","guatemala","19,411,000","2019",135,"Central America and the Caribbean"
"Eswatini","eswatini","19,371,000","2019",136,"Africa"
"Philippines","philippines","19,261,000","2019",137,"East and Southeast Asia"
"Sri Lanka","sri-lanka","17,268,000","2019",138,"South Asia"
"Congo, Republic of the","congo-republic-of-the","16,156,000","2019",139,"Africa"
