"Data Source","World Development Indicators",

"Last Updated Date","2023-10-26",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022",
"Aruba","ABW","Gross capital formation (% of GDP)","NE.GDI.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","31.1336717428088","28.4615384615385","30.2334062727936","31.7007715531701","30.8690012970169","25.4977631971369","23.9967599410898","26.6277050113895","28.8813883574747","28.4524281466799","33.1638257575758","34.5184347432708","31.7465053202587","32.1031440361564","29.6440603806607","28.2827868852459","27.4152901313003","23.5236274300363","23.825127995085","23.109707766213","21.5373114630468","20.5738812956375","20.5528455284553","22.4016672873636","22.4384882316622","23.1139598358268","19.8375333993843","",
"Africa Eastern and Southern","AFE","Gross capital formation (% of GDP)","NE.GDI.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18.5732297944389","18.5878264956302","18.0635350980718","16.930626329108","18.1155995323908","17.6796382238399","17.8799970808847","17.2686075035057","17.5757856486618","18.2888708662633","19.5918725132074","19.2743836662629","20.2552469356978","21.2854129094375","23.5140350078739","23.2160017879137","21.3493708358072","22.3721650122186","22.5367751305955","23.1568927354401","23.4433268141572","23.114081160327","20.6858837095838","20.8730191532593","21.036979398104","21.8684256225058","20.3571832478189","19.9323236882538","20.0088609625151",
"Afghanistan","AFG","Gross capital formation (% of GDP)","NE.GDI.TOTL.ZS","16.115709744894","16.5991981789571","19.1057020506971","14.2011896117076","13.8888936728392","11.2582791310323","8.41269813681027","5.1792826071544","6.4724917522858","6.46687681860701","5.46379407704636","5.46117106687832","6.54596174882259","7.30769221351084","8.76288652354129","9.76525842685535","13.6521735928166","12.4153493064084","13.8720537510231","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Africa Western and Central","AFW","Gross capital formation (% of GDP)","NE.GDI.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","78.9754339281078","75.0476957922194","62.4483947355875","46.5048134097782","38.1844585647064","38.9373069967025","34.4243588212294","30.6929184705268","32.7254256961947","33.5379646021175","30.6335137654164","27.489562086764","24.2629872743927","29.6636837544932","27.1813360393075","26.5503834800865","28.4910099221253","30.1318596158096","27.7360869516352","26.9273557188233","25.9084142985803","24.0130323308996","25.3203288597468","24.2499430267397","24.1192342896585","24.8667825708018","21.4158377077176","20.9281398516901","22.2814936373717","20.1140639000624","18.7260170826803","18.6964997624791","18.912080882532","19.7107100114716","19.5318933862375","19.7872006588456","18.5586090937371","21.1591797222146","24.1254886011651","24.8730853124461","28.4408055381955","",
"Angola","AGO","Gross capital formation (% of GDP)","NE.GDI.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","","","","","","","","","","30.4932189762628","30.4932189408191","30.4931731253335","30.4511114121029","30.8936755014177","27.5565797901657","23.3007709224417","25.730579355956","30.804053314644","42.8208531628244","28.1973176920118","26.4243531675539","26.6675773725046","26.1429704757952","27.5004591988793","34.2024908297612","27.2147092687935","24.1303058646463","17.8694205677582","17.7122552404386","20.8830702940947","21.5382089651434","",
"Albania","ALB","Gross capital formation (% of GDP)","NE.GDI.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","35.805834723522","36.3861156517659","39.2829001338862","37.373346292896","32.9255350791543","33.9319591391124","32.0348354243886","29.4538695223043","29.957542067619","32.8770715994479","30.360946807547","7.60311109567282","5.65668410228241","13.6761374504386","18.8965848987739","21.2785134595821","18.063790715967","16.6595085173425","19.7426022741446","19.7346920833014","30.7962585719445","34.9886697820033","35.2640615632586","33.8968627994889","34.1967461797911","36.8696756752052","35.6975187198863","34.4619700309054","35.7784238754261","34.5578458934766","30.3086698207955","31.4135814808892","28.3285499594466","28.0524964575465","25.6746926299268","25.8190485021686","25.2238259425092","25.0525380257711","23.9102053888242","23.0125955147467","22.9650300135768","24.8122951383153","",
"Andorra","AND","Gross capital formation (% of GDP)","NE.GDI.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Gross capital formation (% of GDP)","NE.GDI.TOTL.ZS","","","","","","","","","","","","","","","","","34.2840635352416","35.576049343852","39.5850680711835","31.0663988245523","28.4704566271064","28.6941906973162","31.9669783904836","30.2052590223361","29.3487707869217","25.6465036297042","24.5710666691442","21.4146283078665","23.1095501965356","18.1571032902988","30.4170010306491","21.3748685782648","22.2911087333208","22.7895098021657","20.9573882500232","20.8823479805044","19.5397834235141","17.4482691981856","20.3916735296402","20.1719114045802","18.3639014221313","19.4072708223046","18.8919835938516","19.6898281440347","19.6357152137224","19.6339628274607","20.7425223349126","23.4453461562247","24.5013630576029","25.7182200444458","23.941131147995","24.1857998622267","23.4628269245647","24.1930194012944","25.2274653658608","27.8622320927068","27.685680814507","27.0377577908991","26.4340194103796","26.8519308828367","25.7494701740291","23.4682841685916","",
"United Arab Emirates","ARE","Gross capital formation (% of GDP)","NE.GDI.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","22.5025971503274","22.5456815521944","22.1297618369823","19.9785190602061","20.1668488058722","19.2703996822451","25.1991828204692","25.0980915438506","31.6335487625593","27.1211036208319","23.1614737744993","21.3146835415612","18.7714505330082","21.581267907459","24.7985345242883","25.1593261512356","24.9774926798669","23.2453423650655","22.4227624232681","22.786447494702","","",
"Argentina","ARG","Gross capital formation (% of GDP)","NE.GDI.TOTL.ZS","23.4792342590099","27.7664470644615","21.7309350217721","18.2728788276194","21.4739126232485","22.4276757468008","20.5425466290179","21.2150357873283","21.6904972921362","23.9906052021963","24.4400952475051","24.1130324177909","23.8915446190398","20.8938115320811","22.2603317856376","29.4410469590453","30.7294395896829","30.9416888038212","27.8001595713111","25.8567694620944","25.257786289888","22.6910887215618","21.7549479464592","20.8877523061467","19.9640924492995","17.5890669180019","17.4617642050861","19.5548660012086","18.6400388971926","15.5146982752804","13.9969815756662","14.6369773950796","16.7024057741857","19.6881104233422","19.9656232520199","18.5004105114971","19.6238724452255","20.8260515469902","20.9707691548621","17.8629278753399","17.5334874363903","15.6259653308051","10.8539052402585","14.1469621012504","17.5512703642799","18.8882641376513","18.6804872364334","20.099113202908","19.5727758777106","16.0531123592112","17.7055338062046","18.39845891735","16.5019865298875","17.3057789012596","17.2628810064651","17.0707048841583","17.6632278606203","18.2125671747754","16.6138850156371","14.2100303992191","14.1305954579395","17.4742275142009","17.3050746478693",
