name,slug,value,date_of_information,ranking,region
"Uganda","uganda","3.47","2021",112,"Africa"
"Indonesia","indonesia","3.42","2021",113,"East and Southeast Asia"
"Armenia","armenia","3.4","2021",114,"Middle East"
"Faroe Islands","faroe-islands","3.4","2009",115,"Europe"
"Poland","poland","3.36","2021",116,"Europe"
"Thailand","thailand","3.34","2021",117,"East and Southeast Asia"
"Czechia","czechia","3.3","2021",118,"Europe"
"United States","united-states","3.25","2021",119,"North America"
"Cameroon","cameroon","3.22","2021",120,"Africa"
"Iran","iran","3.21","2021",121,"Middle East"
"Gabon","gabon","3.2","2021",122,"Africa"
"Kyrgyzstan","kyrgyzstan","3.1","2021",123,"Central Asia"
"Jordan","jordan","3.02","2021",124,"Middle East"
"Luxembourg","luxembourg","2.87","2021",125,"Europe"
"Finland","finland","2.77","2021",126,"Europe"
"Ukraine","ukraine","2.57","2021",127,"Europe"
"United Arab Emirates","united-arab-emirates","2.54","2021",128,"Middle East"
"Slovakia","slovakia","2.46","2021",129,"Europe"
"Georgia","georgia","2.4","2021",130,"Middle East"
"Jamaica","jamaica","2.38","2021",131,"Central America and the Caribbean"
"Norway","norway","2.19","2021",132,"Europe"
"Hong Kong","hong-kong","2.08","2021",133,"East and Southeast Asia"
"Bhutan","bhutan","1.96","2021",134,"South Asia"
"Azerbaijan","azerbaijan","1.95","2021",135,"Middle East"
"Latvia","latvia","1.93","2021",136,"Europe"
"Malawi","malawi","1.9","2021",137,"Africa"
"Bulgaria","bulgaria","1.72","2021",138,"Europe"
"Saudi Arabia","saudi-arabia","1.71","2021",139,"Middle East"
"Saint Kitts and Nevis","saint-kitts-and-nevis","1.55","2021",140,"Central America and the Caribbean"
"Namibia","namibia","1.44","2021",141,"Africa"
"Sao Tome and Principe","sao-tome-and-principe","1.44","2021",142,"Africa"
"Burundi","burundi","1.4","2021",143,"Africa"
"Montenegro","montenegro","1.39","2021",144,"Europe"
"Belgium","belgium","1.28","2021",145,"Europe"
"Tonga","tonga","1.23","2021",146,"Australia and Oceania"
"British Virgin Islands","british-virgin-islands","1.1","2017",147,"Central America and the Caribbean"
"Oman","oman","1.05","2021",148,"Middle East"
"Mali","mali","1.01","2021",149,"Africa"
"Turkmenistan","turkmenistan","1","2017",150,"Central Asia"
"Korea, North","korea-north","1","2017",151,"East and Southeast Asia"
"Cook Islands","cook-islands","1","2002",152,"Australia and Oceania"
